Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
153,-1.16162,-2.60411,-2.60411,-1.16162
154,-1.11532,-2.61785,-2.61785,-1.11532
155,-1.07208,-2.63088,-2.63088,-1.07208
156,-1.03175,-2.64315,-2.64315,-1.03175
157,-0.99417,-2.65465,-2.65465,-0.99417
158,-0.947534,-2.66537,-2.66537,-0.947534
159,-0.820455,-2.67881,-2.67881,-0.820455
160,-0.526295,-2.71578,-2.71578,-0.526295
161,0.111269,-2.7938,-2.7938,0.111269
162,1.42579,-2.90108,-2.90108,1.42579
163,3.16251,-2.95308,-2.95308,3.16251
164,3.0261,-2.95647,-2.95647,3.0261
165,2.89451,-2.95589,-2.95589,2.89451
166,2.77074,-2.95534,-2.95534,2.77074
167,2.65441,-2.95479,-2.95479,2.65441
168,2.54506,-2.95422,-2.95422,2.54506
169,2.44227,-2.95363,-2.95363,2.44227
170,2.34565,-2.95303,-2.95303,2.34565
171,2.25483,-2.95242,-2.95242,2.25483
172,2.16945,-2.95179,-2.95179,2.16945
173,2.08918,-2.95114,-2.95114,2.08918
174,2.01372,-2.95047,-2.95047,2.01372
175,1.94277,-2.94979,-2.94979,1.94277
176,1.87606,-2.94909,-2.94909,1.87606
177,1.81334,-2.94838,-2.94838,1.81334
178,1.75437,-2.94765,-2.94765,1.75437
179,1.69891,-2.9469,-2.9469,1.69891
180,1.64676,-2.94614,-2.94614,1.64676
181,1.59772,-2.94537,-2.94537,1.59772
182,1.55159,-2.94459,-2.94459,1.55159
183,1.50822,-2.94379,-2.94379,1.50822
184,1.46742,-2.94299,-2.94299,1.46742
185,1.42905,-2.94219,-2.94219,1.42905
186,1.39296,-2.94138,-2.94138,1.39296
187,1.359,-2.94056,-2.94056,1.359
188,1.32707,-2.93975,-2.93975,1.32707
189,1.29702,-2.93893,-2.93893,1.29702
190,1.26875,-2.93811,-2.93811,1.26875
191,1.24216,-2.9373,-2.9373,1.24216
192,1.21714,-2.93649,-2.93649,1.21714
193,1.19359,-2.93568,-2.93568,1.19359
194,1.17144,-2.93488,-2.93488,1.17144
195,1.15059,-2.93408,-2.93408,1.15059
196,1.13096,-2.9333,-2.9333,1.13096
197,1.11249,-2.93252,-2.93252,1.11249
198,1.09511,-2.93174,-2.93174,1.09511
199,1.07874,-2.93098,-2.93098,1.07874
200,1.06333,-2.93022,-2.93022,1.06333
201,1.04882,-2.92947,-2.92947,1.04882
202,1.03516,-2.92874,-2.92874,1.03516
203,1.02229,-2.92801,-2.92801,1.02229
204,1.01017,-2.92729,-2.92729,1.01017
205,0.998747,-2.92658,-2.92658,0.998747
206,0.985482,-2.92588,-2.92588,0.985482
207,0.948888,-2.92514,-2.92514,0.948888
208,0.867014,-2.92385,-2.92385,0.867014
209,0.697398,-2.92133,-2.92133,0.697398
210,0.35752,-2.91542,-2.91542,0.35752
211,-0.315396,-2.89726,-2.89726,-0.315396
212,-1.66103,-2.81264,-2.81264,-1.66103
213,-3.11203,-2.46136,-2.46136,-3.11203
214,-3.03231,-2.35107,-2.35107,-3.03231
215,-2.89137,-2.35597,-2.35597,-2.89137
216,-2.75077,-2.35889,-2.35889,-2.75077
217,-2.61829,-2.36287,-2.36287,-2.61829
218,-2.49326,-2.36773,-2.36773,-2.49326
219,-2.37517,-2.37357,-2.37357,-2.37517
220,-2.26355,-2.38045,-2.38045,-2.26355
221,-2.15799,-2.38843,-2.38843,-2.15799
222,-2.05808,-2.39752,-2.39752,-2.05808
223,-1.96348,-2.40771,-2.40771,-1.96348
224,-1.87389,-2.41895,-2.41895,-1.87389
225,-1.78903,-2.43118,-2.43118,-1.78903
226,-1.70868,-2.44428,-2.44428,-1.70868
227,-1.63263,-2.45811,-2.45811,-1.63263
228,-1.56071,-2.47251,-2.47251,-1.56071
229,-1.49277,-2.48731,-2.48731,-1.49277
230,-1.42867,-2.50232,-2.50232,-1.42867
231,-1.36827,-2.51736,-2.51736,-1.36827
232,-1.31147,-2.53225,-2.53225,-1.31147
233,-1.25812,-2.54685,-2.54685,-1.25812
234,-1.20809,-2.56102,-2.56102,-1.20809
235,-1.16127,-2.57464,-2.57464,-1.16127
236,-1.11749,-2.58764,-2.58764,-1.11749
237,-1.07662,-2.59995,-2.59995,-1.07662
238,-1.03851,-2.61154,-2.61154,-1.03851
