Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
167,0.740056,-2.9511,-2.9511,0.740056
168,0.648769,-2.94914,-2.94914,0.648769
169,0.529953,-2.94631,-2.94631,0.529953
170,0.375548,-2.94205,-2.94205,0.375548
171,0.17491,-2.93525,-2.93525,0.17491
172,-0.0862977,-2.92366,-2.92366,-0.0862977
173,-0.428029,-2.90237,-2.90237,-0.428029
174,-0.879322,-2.86083,-2.86083,-0.879322
175,-1.48271,-2.78072,-2.78072,-1.48271
176,-2.28936,-2.65589,-2.65589,-2.28936
177,-2.69619,-2.53294,-2.53294,-2.69619
178,-2.8737,-2.46142,-2.46142,-2.8737
179,-2.92996,-2.42374,-2.42374,-2.92996
180,-2.9235,-2.40469,-2.40469,-2.9235
181,-2.88517,-2.39551,-2.39551,-2.88517
182,-2.83115,-2.39152,-2.39152,-2.83115
183,-2.76987,-2.3903,-2.3903,-2.76987
184,-2.70574,-2.39062,-2.39062,-2.70574
185,-2.64103,-2.39186,-2.39186,-2.64103
186,-2.57689,-2.39369,-2.39369,-2.57689
187,-2.51391,-2.39597,-2.39597,-2.51391
188,-2.45236,-2.3986,-2.3986,-2.45236
189,-2.39235,-2.40155,-2.40155,-2.39235
190,-2.33393,-2.40481,-2.40481,-2.33393
191,-2.27707,-2.40837,-2.40837,-2.27707
192,-2.22175,-2.41222,-2.41222,-2.22175
193,-2.16794,-2.41638,-2.41638,-2.16794
194,-2.11559,-2.42083,-2.42083,-2.11559
195,-2.06465,-2.42558,-2.42558,-2.06465
196,-2.01509,-2.43063,-2.43063,-2.01509
197,-1.96687,-2.43596,-2.43596,-1.96687
198,-1.91993,-2.44158,-2.44158,-1.91993
199,-1.87426,-2.44748,-2.44748,-1.87426
200,-1.82981,-2.45364,-2.45364,-1.82981
201,-1.78656,-2.46006,-2.46006,-1.78656
202,-1.74447,-2.46671,-2.46671,-1.74447
203,-1.70351,-2.47358,-2.47358,-1.70351
204,-1.66367,-2.48065,-2.48065,-1.66367
205,-1.62492,-2.48791,-2.48791,-1.62492
206,-1.58724,-2.49532,-2.49532,-1.58724
207,-1.55061,-2.50286,-2.50286,-1.55061
208,-1.515,-2.51051,-2.51051,-1.515
209,-1.48041,-2.51825,-2.51825,-1.48041
210,-1.44681,-2.52605,-2.52605,-1.44681
211,-1.41419,-2.53388,-2.53388,-1.41419
